City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hermanus,ZA,66.79,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
1,Anqiu,CN,68.52,few clouds,36.4342,119.1925,Super 8 Anqiu Heping Road Coach Station
2,Mataura,NZ,50.31,overcast clouds,-46.1927,168.8643,Ellie's Villa
4,Butaritari,KI,80.98,light rain,3.0707,172.7902,Isles Sunset Lodge
6,Kilindoni,TZ,84.33,clear sky,-7.9139,39.6668,Bustani B&B
8,Bengkulu,ID,77.81,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
10,Castro,BR,67.8,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
11,Atuona,PF,79.23,scattered clouds,-9.8,-139.0333,Villa Enata
12,Lebu,CL,54.01,broken clouds,-37.6167,-73.65,Hostal Las Lilas
14,Nata,PA,78.69,broken clouds,8.3333,-80.5167,Rey David
16,Casablanca,MA,70.02,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
18,Busselton,AU,61.57,light rain,-33.65,115.3333,Observatory Guest House
19,Bone,DE,53.82,overcast clouds,51.9669,12.1396,Sporthotel Wallwitz
21,Isiro,CD,83.73,overcast clouds,2.7739,27.616,Guest House Hewa Bora
22,Rikitea,PF,79.2,clear sky,-23.1203,-134.9692,People ThankYou
24,Baracoa,CU,77.52,few clouds,20.3467,-74.4958,Hostal Rio Miel
26,Hilo,US,69.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
27,Wote,KE,88.11,few clouds,-1.7808,37.6288,SAVANAH HOTEL
28,Bredasdorp,ZA,65.41,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
