City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hilo,US,69.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
5,Aksu,CN,76.42,few clouds,41.1231,80.2644,Pudong Holiday Hotel
6,Sassandra,CI,87.64,overcast clouds,4.95,-6.0833,la terrasse
7,Hithadhoo,MV,83.62,broken clouds,-0.6,73.0833,Scoop Guest House
9,Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
10,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
12,Venice,US,70.99,broken clouds,27.0998,-82.4543,A Beach Retreat On Casey Key
13,Kavieng,PG,77.92,moderate rain,-2.5744,150.7967,Nusa Island Retreat
14,Jalu,LY,80.46,clear sky,29.0331,21.5482,صاحبة الفخامة
16,Serowe,BW,74.05,broken clouds,-22.3833,26.7167,Hill View Inn
22,Bengkulu,ID,77.5,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
26,Khandbari,NP,71.67,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
27,Esperance,AU,73.24,scattered clouds,-33.8667,121.9,Hospitality Esperance
29,Butaritari,KI,81.01,light rain,3.0707,172.7902,Isles Sunset Lodge
30,Itacoatiara,BR,81.37,overcast clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
31,Georgetown,MY,85.95,few clouds,5.4112,100.3354,Cititel Penang
34,Hermanus,ZA,66.79,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
38,Manta,EC,74.98,broken clouds,-0.95,-80.7333,Balandra Hotel
39,Bonthe,SL,86.36,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
40,Gat,IL,73.4,overcast clouds,31.61,34.7642,OlusHome
41,Rikitea,PF,79.25,clear sky,-23.1203,-134.9692,People ThankYou
42,Dicabisagan,PH,75.42,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
47,Curup,ID,68.02,broken clouds,-3.4667,102.5333,Ayi The Costel
51,Karimganj,IN,80.98,clear sky,24.8667,92.35,Ahar Hotel And Aheli Restaurant
54,Tepalcatepec,MX,70.21,few clouds,19.1833,-102.85,Maria De Jesus
57,Atar,MR,82.45,clear sky,20.5169,-13.0499,Oumou Elghoura
59,Braganca,BR,74.07,moderate rain,-1.0536,-46.7656,Marujo's Suíte Hotel
60,Buala,SB,80.13,light rain,-8.145,159.5921,Maringe Lagoon Lodge
63,Bairiki,KI,80.19,light rain,1.3292,172.9752,Tarawa Boutique Hotel
68,Marawi,PH,70.05,light rain,7.9986,124.2928,Derogongan Residence
69,Manfredonia,IT,70.27,few clouds,41.6259,15.9094,Regiohotel Manfredi
70,Savannakhet,LA,84.22,haze,16.566,104.751,โรงแรม ริเวอร์ ฟร้อนท์ (Riverfront Hotel)
