City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,66.79,56,49,20.98,scattered clouds
1,Anqiu,CN,36.4342,119.1925,68.52,59,20,9.8,few clouds
2,Mataura,NZ,-46.1927,168.8643,50.31,72,95,4.72,overcast clouds
3,Dudinka,RU,69.4058,86.1778,2.62,99,95,3.2,overcast clouds
4,Butaritari,KI,3.0707,172.7902,80.98,79,100,12.71,light rain
5,Hvolsvollur,IS,63.7533,-20.2243,32.67,54,100,7.47,overcast clouds
6,Kilindoni,TZ,-7.9139,39.6668,84.33,66,4,5.26,clear sky
7,Ushuaia,AR,-54.8,-68.3,33.46,93,75,5.75,broken clouds
8,Bengkulu,ID,-3.8004,102.2655,77.81,84,28,2.51,moderate rain
9,Alihe,CN,50.5667,123.7167,35.78,93,75,1.95,light rain
10,Castro,BR,-24.7911,-50.0119,67.8,88,58,4.61,broken clouds
11,Atuona,PF,-9.8,-139.0333,79.23,75,42,17.69,scattered clouds
12,Lebu,CL,-37.6167,-73.65,54.01,93,53,9.46,broken clouds
13,Anadyr,RU,64.75,177.4833,-5.3,77,0,4.47,clear sky
14,Nata,PA,8.3333,-80.5167,78.69,77,77,2.68,broken clouds
15,Longyearbyen,SJ,78.2186,15.6401,12.04,67,0,8.05,clear sky
16,Casablanca,MA,33.5928,-7.6192,70.02,63,20,9.22,few clouds
17,Airai,TL,-8.9266,125.4092,60.35,91,46,2.59,scattered clouds
18,Busselton,AU,-33.65,115.3333,61.57,84,100,14.74,light rain
19,Bone,DE,51.9669,12.1396,53.82,51,100,15.9,overcast clouds
20,Yellowknife,CA,62.456,-114.3525,36.41,73,100,9.22,overcast clouds
21,Isiro,CD,2.7739,27.616,83.73,52,100,2.13,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,79.2,69,0,14.12,clear sky
23,Qaanaaq,GL,77.484,-69.3632,-6.05,68,10,7.47,clear sky
24,Baracoa,CU,20.3467,-74.4958,77.52,75,21,1.68,few clouds
25,Albany,US,42.6001,-73.9662,44.4,95,100,1.01,overcast clouds
26,Hilo,US,19.7297,-155.09,69.53,86,100,5.75,light rain
27,Wote,KE,-1.7808,37.6288,88.11,28,19,11.1,few clouds
28,Bredasdorp,ZA,-34.5322,20.0403,65.41,52,92,19.06,overcast clouds
