City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,50.18,73,100,4.63,overcast clouds
1,Hilo,US,19.7297,-155.09,69.53,86,100,5.75,light rain
2,Hobart,AU,-42.8794,147.3294,55.26,86,20,5.75,few clouds
3,Hokitika,NZ,-42.7167,170.9667,52.92,82,38,6.06,scattered clouds
4,Lagoa,PT,39.05,-27.9833,60.58,83,68,18.39,broken clouds
5,Aksu,CN,41.1231,80.2644,76.42,13,11,5.37,few clouds
6,Sassandra,CI,4.95,-6.0833,87.64,63,93,9.78,overcast clouds
7,Hithadhoo,MV,-0.6,73.0833,83.62,64,57,7.94,broken clouds
8,Klaksvik,FO,62.2266,-6.589,36.52,74,98,27.34,overcast clouds
9,Avarua,CK,-21.2078,-159.775,80.65,83,40,5.75,scattered clouds
10,Vaini,TO,-21.2,-175.2,75.36,94,20,0.0,few clouds
11,Ekibastuz,KZ,51.6667,75.3667,49.23,48,97,19.28,overcast clouds
12,Venice,US,27.0998,-82.4543,70.99,62,81,13.0,broken clouds
13,Kavieng,PG,-2.5744,150.7967,77.92,90,100,11.61,moderate rain
14,Jalu,LY,29.0331,21.5482,80.46,19,0,11.86,clear sky
15,Albany,US,42.6001,-73.9662,44.94,95,100,1.01,overcast clouds
16,Serowe,BW,-22.3833,26.7167,74.05,53,75,15.97,broken clouds
17,Lima,PE,-12.0432,-77.0282,62.85,88,0,4.61,clear sky
18,Busselton,AU,-33.65,115.3333,60.51,83,99,11.97,overcast clouds
19,Havoysund,NO,70.9963,24.6622,34.03,76,8,17.36,clear sky
20,Ushuaia,AR,-54.8,-68.3,33.46,93,75,5.75,broken clouds
21,Kangaatsiaq,GL,68.3065,-53.4641,10.06,89,100,1.68,overcast clouds
22,Bengkulu,ID,-3.8004,102.2655,77.5,84,84,2.48,broken clouds
23,Fortuna,US,40.5982,-124.1573,47.66,93,0,8.05,clear sky
24,Khatanga,RU,71.9667,102.5,4.84,95,33,6.22,scattered clouds
25,Pangnirtung,CA,66.1451,-65.7125,6.8,78,40,0.0,scattered clouds
26,Khandbari,NP,27.3747,87.2039,71.67,69,82,1.45,broken clouds
27,Esperance,AU,-33.8667,121.9,73.24,66,33,13.91,scattered clouds
28,Mgachi,RU,51.05,142.2667,24.37,82,35,4.21,scattered clouds
29,Butaritari,KI,3.0707,172.7902,81.01,79,100,13.0,light rain
30,Itacoatiara,BR,-3.1431,-58.4442,81.37,80,87,3.8,overcast clouds
31,Georgetown,MY,5.4112,100.3354,85.95,76,20,3.44,few clouds
32,Coihaique,CL,-45.5752,-72.0662,43.41,93,75,0.0,mist
33,Saraland,US,30.8207,-88.0706,55.31,59,0,7.43,clear sky
34,Hermanus,ZA,-34.4187,19.2345,66.79,54,71,22.03,broken clouds
