city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2022-04-03 15:24:58,-34.5322,20.0403,67.44,70,71,12.82
1,Castro,BR,2022-04-03 15:21:47,-24.7911,-50.0119,66.09,85,100,9.24
2,Butaritari,KI,2022-04-03 15:24:59,3.0707,172.7902,81.21,71,65,14.83
3,Hobart,AU,2022-04-03 15:24:59,-42.8794,147.3294,57.06,93,100,4.61
4,Upernavik,GL,2022-04-03 15:24:59,72.7868,-56.1549,16.61,81,79,8.81
5,Kapaa,US,2022-04-03 15:25:00,22.0752,-159.319,72.12,85,20,18.41
6,Bata,GQ,2022-04-03 15:25:00,1.8639,9.7658,84.06,72,36,10.29
7,Yellowknife,CA,2022-04-03 15:23:59,62.456,-114.3525,2.28,78,20,12.66
8,Agadez,NE,2022-04-03 15:25:01,19.75,10.25,102.09,3,33,6.17
9,Hermanus,ZA,2022-04-03 15:25:01,-34.4187,19.2345,72.81,63,31,12.57
10,Chingirlau,KZ,2022-04-03 15:25:01,51.095,54.0814,57.69,64,98,8.21
11,Morant Bay,JM,2022-04-03 15:25:02,17.8815,-76.4093,87.71,67,10,9.17
12,Coihaique,CL,2022-04-03 15:24:55,-45.5752,-72.0662,49.95,53,75,8.05
13,Bluff,NZ,2022-04-03 15:25:03,-46.6,168.3333,56.95,73,62,11.79
14,Sorland,NO,2022-04-03 15:25:03,67.667,12.6934,34.21,79,100,16.53
15,Ketchikan,US,2022-04-03 15:25:03,55.3422,-131.6461,39.67,87,100,11.5
16,Geraldton,AU,2022-04-03 15:25:04,-28.7667,114.6,73.81,88,75,9.22
17,Punta Arenas,CL,2022-04-03 15:24:20,-53.15,-70.9167,46.51,61,40,32.21
18,Foumbot,CM,2022-04-03 15:25:05,5.5079,10.6356,89.76,26,100,4.21
19,Kroonstad,ZA,2022-04-03 15:25:05,-27.6504,27.2349,72.63,48,59,13.33
20,Talnakh,RU,2022-04-03 15:25:06,69.4865,88.3972,3.69,98,98,3.78
21,Kruisfontein,ZA,2022-04-03 15:25:06,-34.0033,24.7314,68.88,65,74,6.93
22,Mount Gambier,AU,2022-04-03 15:21:58,-37.8333,140.7667,53.19,95,12,3.53
23,Tasiilaq,GL,2022-04-03 15:25:07,65.6145,-37.6368,32.16,86,100,3.24
24,Ushuaia,AR,2022-04-03 15:21:33,-54.8,-68.3,44.22,81,40,25.32
25,New Norfolk,AU,2022-04-03 15:25:07,-42.7826,147.0587,56.7,87,99,0.56
26,Esperance,AU,2022-04-03 15:25:08,-33.8667,121.9,64.24,84,100,10.27
27,Nordfjordeid,NO,2022-04-03 15:25:09,61.9063,5.9915,43.21,93,75,2.3
28,Laguna,US,2022-04-03 15:25:09,38.421,-121.4238,59.63,64,0,3.44
29,Dingle,PH,2022-04-03 15:25:10,10.9995,122.6711,76.57,85,51,6.69
30,Cabo San Lucas,MX,2022-04-03 15:25:10,22.8909,-109.9124,70.52,68,0,9.22
31,La Baule-Escoublac,FR,2022-04-03 15:25:11,47.2922,-2.364,48.7,44,0,11.5
32,Vaini,TO,2022-04-03 15:25:11,-21.2,-175.2,73.56,100,20,2.3
33,Sakaiminato,JP,2022-04-03 15:25:12,35.55,133.2333,48.18,87,40,5.75
34,Port-Gentil,GA,2022-04-03 15:25:12,-0.7193,8.7815,85.96,70,20,13.8
35,Rikitea,PF,2022-04-03 15:25:12,-23.1203,-134.9692,75.87,64,41,8.79
36,Pangnirtung,CA,2022-04-03 15:25:13,66.1451,-65.7125,28.2,74,100,2.68
37,Lazaro Cardenas,MX,2022-04-03 15:25:13,17.9583,-102.2,76.1,60,1,0.34
38,Jiwani,PK,2022-04-03 15:25:14,25.05,61.7417,80.13,62,21,9.06
39,Norden,DE,2022-04-03 15:25:14,53.6,7.2,44.94,68,24,1.99
40,Stephanskirchen,DE,2022-04-03 15:25:15,47.8595,12.1528,37.81,76,99,5.55
41,Hilo,US,2022-04-03 15:25:15,19.7297,-155.09,71.26,91,100,9.22
42,Albany,US,2022-04-03 15:24:26,42.6001,-73.9662,45.18,58,100,4.23
43,Bambous Virieux,MU,2022-04-03 15:25:16,-20.3428,57.7575,79.21,78,75,12.66
44,Busselton,AU,2022-04-03 15:25:16,-33.65,115.3333,63.21,82,76,15.19
45,Chokurdakh,RU,2022-04-03 15:25:16,70.6333,147.9167,-20.29,100,50,3.42
46,Avarua,CK,2022-04-03 15:26:26,-21.2078,-159.775,73.45,100,100,1.14
47,Lanigan,CA,2022-04-03 15:26:26,51.8501,-105.0344,33.69,94,100,2.75
48,Mataura,NZ,2022-04-03 15:26:27,-46.1927,168.8643,45.3,98,53,1.83
49,Mar Del Plata,AR,2022-04-03 15:26:27,-38.0023,-57.5575,71.87,66,0,15.99
50,Kabinda,CD,2022-04-03 15:26:27,-6.1333,24.4833,77.02,76,100,3.38
51,Ojinaga,MX,2022-04-03 15:26:28,29.5667,-104.4167,76.41,46,0,5.75
52,Puerto Baquerizo Moreno,EC,2022-04-03 15:26:28,-0.9,-89.6,79.79,83,75,9.22
53,Nikolskoye,RU,2022-04-03 15:26:29,59.7035,30.7861,36.88,80,95,5.48
54,Pisco,PE,2022-04-03 15:26:29,-13.7,-76.2167,69.85,73,0,9.22
55,Pilar,BR,2022-04-03 15:22:45,-9.5972,-35.9567,80.53,59,36,10.58
56,Haines Junction,CA,2022-04-03 15:26:29,60.7522,-137.5108,21.15,93,80,1.14
57,Saint-Philippe,RE,2022-04-03 15:26:30,-21.3585,55.7679,74.79,88,100,16.73
58,Jamestown,US,2022-04-03 15:26:30,42.097,-79.2353,34.02,74,100,14.97
59,Carnarvon,AU,2022-04-03 15:26:31,-24.8667,113.6333,78.87,83,100,12.66
60,Aklavik,CA,2022-04-03 15:26:31,68.2191,-135.0107,-18.4,69,20,5.75
61,Severo-Kurilsk,RU,2022-04-03 15:26:31,50.6789,156.125,28.96,85,24,13.6
62,Norman Wells,CA,2022-04-03 15:26:32,65.282,-126.8329,-18.36,63,75,0.0
63,Richards Bay,ZA,2022-04-03 15:26:32,-28.783,32.0377,77.43,78,100,7.31
64,Sidi Bin Nur,TN,2022-04-03 15:26:32,35.5333,10.9167,58.91,49,82,13.87
65,Pevek,RU,2022-04-03 15:26:33,69.7008,170.3133,-19.46,95,19,3.15
66,Qostanay,KZ,2022-04-03 15:26:33,53.1667,63.5833,39.7,86,100,13.85
67,Port Elizabeth,ZA,2022-04-03 15:26:34,-33.918,25.5701,71.1,91,75,13.8
68,Mayo,US,2022-04-03 15:26:34,38.8876,-76.5119,61.21,52,0,30.0
69,Puquio,PE,2022-04-03 15:26:34,-14.7,-74.1333,59.34,55,84,2.46
70,Atuona,PF,2022-04-03 15:26:35,-9.8,-139.0333,79.38,70,87,22.32
71,Masty,BY,2022-04-03 15:26:35,53.4122,24.5387,37.51,51,16,10.63
72,West Wendover,US,2022-04-03 15:26:35,40.7391,-114.0733,43.81,31,0,3.44
73,Westport,US,2022-04-03 15:26:36,41.1415,-73.3579,49.44,73,100,9.22
74,San Cristobal,VE,2022-04-03 15:26:36,7.7669,-72.225,77.18,62,100,6.55
75,Port Lincoln,AU,2022-04-03 15:26:37,-34.7333,135.8667,60.46,80,3,5.99
76,Katsuura,JP,2022-04-03 15:26:37,35.1333,140.3,50.02,70,100,21.0
77,Okhotsk,RU,2022-04-03 15:26:38,59.3833,143.3,18.16,89,100,8.05
